sec,EEG,alpha,beta,delta,theta
2.485,3.2959,0.742224,-0.367284,1.81483,0.258665
2.49,4.04053,0.842826,0.0127202,1.81394,0.557669
2.495,4.8645,0.871086,0.279053,1.81388,0.847255
2.5,5.19409,0.824136,0.307472,1.81466,1.1182
2.505,5.10864,0.705891,0.15272,1.8163,1.36174
2.51,4.96826,0.526701,-0.00932046,1.81882,1.56983
2.515,4.74854,0.302506,-0.0258124,1.82223,1.73556
2.52,4.92554,0.0532222,0.112783,1.82657,1.85338
2.525,4.73633,-0.199109,0.268067,1.83185,1.91937
2.53,4.58374,-0.432205,0.267611,1.8381,1.93126
2.535,4.04663,-0.625426,0.0494065,1.84535,1.88856
2.54,3.11279,-0.761727,-0.275248,1.85362,1.79262
2.545,2.47192,-0.829262,-0.494971,1.86293,1.64662
2.55,2.09961,-0.822393,-0.453605,1.87333,1.45531
2.555,2.29492,-0.742044,-0.169432,1.88485,1.22481
2.56,2.50854,-0.59565,0.172134,1.89753,0.962486
2.565,2.32544,-0.396694,0.351691,1.9114,0.676762
2.57,2.09351,-0.163528,0.275608,1.9265,0.37682
2.575,1.64185,0.0823308,0.0409359,1.94287,0.0720484
2.58,1.2146,0.318084,-0.143745,1.96058,-0.228329
2.585,0.98877,0.521789,-0.121619,1.97966,-0.51541
2.59,1.15967,0.674251,0.0887916,2.00018,-0.780817
2.595,1.42212,0.76085,0.303886,2.02217,-1.01706
2.6,0.98877,0.773178,0.315738,2.04569,-1.21789
2.605,0.128174,0.709875,0.0584158,2.07079,-1.37842
2.61,-0.445557,0.577012,-0.32846,2.09752,-1.49526
2.615,-0.683594,0.387649,-0.5882,2.12594,-1.56672
2.62,-0.701904,0.160733,-0.527106,2.15609,-1.59279
2.625,-0.762939,-0.0806572,-0.156634,2.18802,-1.57489
2.63,-0.616455,-0.311526,0.306607,2.22177,-1.51583
2.635,0.0366211,-0.507603,0.583304,2.25737,-1.41961
2.64,0.305176,-0.647919,0.516375,2.29484,-1.29132
2.645,0.0549316,-0.717082,0.169065,2.33422,-1.13691
2.65,-0.262451,-0.707175,-0.226885,2.37553,-0.962885
2.655,-0.0305176,-0.618761,-0.430537,2.41879,-0.775904
2.66,0.408936,-0.461165,-0.344208,2.46402,-0.582612
2.665,1.17188,-0.251781,-0.0583196,2.51121,-0.389352
2.67,2.53296,-0.0141748,0.228362,2.56036,-0.201986
2.675,3.28979,0.224497,0.345814,2.61143,-0.025657
2.68,3.09448,0.436494,0.249205,2.6644,0.135423
2.685,2.71606,0.596572,0.0206232,2.7192,0.278101
2.69,3.22266,0.684845,-0.206698,2.7758,0.400308
2.695,4.10156,0.689675,-0.334025,2.83417,0.501015
2.7,4.41895,0.609345,-0.334882,2.8942,0.580221
2.705,4.1748,0.452428,-0.234976,2.95582,0.638889
2.71,3.74756,0.237032,-0.0723221,3.01894,0.678904
2.715,3.91235,-0.0110904,0.121079,3.08346,0.702786
2.72,4.63257,-0.261581,0.307655,3.14924,0.713503
2.725,4.94995,-0.483157,0.430142,3.21616,0.714254
2.73,4.46777,-0.647328,0.424847,3.28408,0.708172
2.735,3.9917,-0.732036,0.262621,3.35285,0.698257
2.74,3.84521,-0.724712,-0.0136327,3.42234,0.687179
2.745,3.87573,-0.624138,-0.294841,3.49238,0.677059
2.75,4.08325,-0.440914,-0.460704,3.56281,0.669281
2.755,4.30298,-0.196279,-0.450384,3.63347,0.664427
2.76,4.54102,0.0803016,-0.296696,3.70419,0.662322
2.765,5.01099,0.354624,-0.0982334,3.7748,0.66215
2.77,5.78613,0.591938,0.0507875,3.84511,0.662345
2.775,6.48804,0.761489,0.120221,3.91493,0.660669
2.78,6.35986,0.840495,0.148448,3.98409,0.654412
2.785,5.68237,0.817002,0.192811,4.0524,0.64066
2.79,5.87769,0.691698,0.26809,4.11965,0.616503
2.795,6.35376,0.478168,0.326825,4.18568,0.579189
2.8,5.98755,0.20127,0.295323,4.25033,0.526158
2.805,5.26123,-0.105735,0.137171,4.31343,0.455311
2.81,4.44336,-0.405326,-0.108756,4.37483,0.365417
2.815,3.52783,-0.660438,-0.345725,4.43438,0.256166
2.82,3.28979,-0.839143,-0.476978,4.49194,0.128232
2.825,3.37524,-0.918913,-0.459892,4.54738,-0.0166702
2.83,3.48511,-0.889598,-0.318003,4.6006,-0.17582
2.835,3.61328,-0.754663,-0.111408,4.65148,-0.345571
2.84,3.62549,-0.530845,0.103605,4.69994,-0.521382
2.845,3.83301,-0.245822,0.292341,4.74589,-0.697928
2.85,3.9917,0.0651909,0.428391,4.78927,-0.869256
2.855,4.48608,0.363949,0.475366,4.83004,-1.02913
2.86,4.74243,0.61426,0.392571,4.86815,-1.17125
2.865,4.05884,0.786613,0.170145,4.90359,-1.28948
2.87,3.61328,0.861839,-0.13708,4.93633,-1.37813
2.875,3.40576,0.833479,-0.413686,4.96637,-1.43232
2.88,2.92358,0.708521,-0.537179,4.99374,-1.44812
2.885,2.61841,0.506198,-0.449673,5.01847,-1.4228
2.89,2.97852,0.255222,-0.197419,5.04061,-1.35491
2.895,3.1311,-0.0103548,0.0945303,5.0602,-1.24452
2.9,3.10669,-0.256015,0.296058,5.07733,-1.09339
2.905,3.14331,-0.451404,0.343813,5.09207,-0.904788
2.91,3.22876,-0.574393,0.263193,5.10449,-0.683442
2.915,3.50342,-0.613767,0.130767,5.11468,-0.435475
2.92,3.76587,-0.570459,0.0136192,5.12274,-0.168115
2.925,3.87573,-0.457237,-0.0666351,5.12878,0.11048
2.93,4.38843,-0.296585,-0.124035,5.13288,0.391478
2.935,5.40771,-0.116759,-0.170732,5.13514,0.665743
2.94,6.01807,0.052677,-0.192189,5.13569,0.924082
2.945,6.10962,0.185414,-0.157837,5.13462,1.15775
2.95,6.23779,0.262392,-0.0578259,5.13205,1.35885
2.955,6.82373,0.274708,0.0719824,5.12809,1.52047
2.96,7.80029,0.224851,0.165164,5.12284,1.63692
2.965,8.11768,0.126194,0.17219,5.11639,1.70397
2.97,7.79419,0.000693201,0.100202,5.10884,1.71902
2.975,7.23877,-0.124698,0.00916362,5.10027,1.68136
2.98,7.01904,-0.222501,-0.0349264,5.09076,1.59218
2.985,7.09229,-0.269682,-0.0135775,5.08036,1.4546
2.99,7.37915,-0.251588,0.0302999,5.06914,1.2735
2.995,7.40967,-0.164752,0.0305385,5.05714,1.05526
3,6.84204,-0.0179512,-0.0436751,5.04438,0.807544
3.005,6.20117,0.168497,-0.156432,5.03088,0.539051
3.01,5.76172,0.365422,-0.228027,5.01662,0.259191
3.015,5.85327,0.539139,-0.195168,5.00159,-0.0223051
3.02,5.83496,0.656713,-0.0603317,4.98578,-0.295767
3.025,5.50537,0.691312,0.107345,4.96915,-0.551952
3.03,5.36499,0.626804,0.219863,4.95163,-0.782382
3.035,4.8584,0.461109,0.228938,4.93316,-0.979593
3.04,4.07104,0.207418,0.151257,4.91367,-1.13739
3.045,3.21655,-0.106634,0.0456379,4.89308,-1.25108
3.05,2.89917,-0.44217,-0.0357291,4.87128,-1.31769
3.055,2.88086,-0.754076,-0.0806637,4.84815,-1.33613
3.06,2.69165,-0.997227,-0.109989,4.82357,-1.30717
3.065,2.2583,-1.1331,-0.140702,4.79741,-1.23329
3.07,1.94092,-1.13567,-0.158563,4.76953,-1.11855
3.075,2.0813,-0.995737,-0.126549,4.7398,-0.968534
3.08,2.89917,-0.723032,-0.0222111,4.70808,-0.790136
3.085,3.83301,-0.345863,0.128569,4.67424,-0.591141
3.09,4.41895,0.0920129,0.252216,4.63812,-0.37977
3.095,4.93774,0.536881,0.269788,4.59959,-0.164502
3.1,5.30396,0.931995,0.150204,4.55851,0.0462687
3.105,5.45044,1.22515,-0.064246,4.51477,0.24453
3.11,5.70068,1.37596,-0.277872,4.46825,0.423008
3.115,5.84717,1.36164,-0.392969,4.41884,0.575472
3.12,5.9021,1.18059,-0.357502,4.36644,0.696921
3.125,5.54199,0.853002,-0.183306,4.31096,0.783732
3.13,5.40771,0.418633,0.0683291,4.25233,0.833866
3.135,4.99268,-0.0682481,0.316009,4.19051,0.846792
3.14,4.27246,-0.545965,0.482929,4.12547,0.823486
3.145,3.52783,-0.953571,0.513142,4.05723,0.76642
3.15,3.1311,-1.23917,0.383471,3.98577,0.679466
3.155,2.6062,-1.36665,0.116344,3.91114,0.567567
3.16,1.83105,-1.32072,-0.214155,3.8334,0.436508
3.165,0.970459,-1.10897,-0.496316,3.75263,0.292672
3.17,0.88501,-0.76079,-0.622763,3.66892,0.142776
3.175,1.75171,-0.323483,-0.543555,3.58239,-0.0064132
3.18,2.65503,0.144377,-0.297301,3.49319,-0.148372
3.185,2.89307,0.580849,0.00449573,3.4015,-0.27709
3.19,3.32031,0.928932,0.237367,3.30751,-0.387377
3.195,3.74756,1.14432,0.333301,3.21143,-0.475063
