Time,EEG,State
82.71,-1.59912,0
82.715,-0.701904,0
82.72,0.402832,0
82.725,2.22168,0
82.73,4.40063,0
82.735,2.72827,0
82.74,-0.958252,0
82.745,-2.22778,0
82.75,-1.3855,0
82.755,-0.805664,0
82.76,-0.646973,0
82.765,-1.3855,0
82.77,-2.41699,0
82.775,-1.44653,0
82.78,0.146484,0
82.785,0.67749,0
82.79,-1.31836,0
82.795,-5.32837,0
82.8,-6.91528,0
82.805,-6.53687,0
82.81,-5.49927,0
82.815,-3.63159,0
82.82,-2.41089,0
82.825,-3.49121,0
82.83,-4.1748,0
82.835,-4.49219,0
82.84,-4.8584,0
82.845,-4.88281,0
82.85,-4.12598,0
82.855,-3.00293,0
82.86,-2.38647,0
82.865,-2.27051,0
82.87,-2.30103,0
82.875,-2.28882,0
82.88,-2.948,0
82.885,-4.32739,0
82.89,-6.65894,0
82.895,-9.27734,0
82.9,-10.4614,0
82.905,-9.77783,0
82.91,-9.11865,0
82.915,-8.55103,0
82.92,-7.92236,0
82.925,-7.90405,0
82.93,-8.01392,0
82.935,-7.95288,0
82.94,-8.05664,0
82.945,-9.40552,0
82.95,-10.7361,0
82.955,-12.1216,0
82.96,-11.6577,0
82.965,-10.6262,0
82.97,-9.99146,0
82.975,-10.5713,0
82.98,-12.4023,0
82.985,-12.2314,0
82.99,-10.1746,0
82.995,-8.22144,0
83,-6.18896,0
83.005,-5.31616,0
83.01,-5.3894,0
83.015,-5.7251,0
83.02,-6.87256,0
83.025,-9.13086,0
83.03,-11.1084,0
83.035,-12.5366,0
83.04,-13.147,0
83.045,-9.97925,0
83.05,-6.54297,0
83.055,-5.57251,0
83.06,-6.21948,0
83.065,-9.04541,0
83.07,-12.3291,0
83.075,-12.2803,0
83.08,-9.7168,0
83.085,-6.99463,0
83.09,-6.44531,0
83.095,-7.8186,0
83.1,-8.45337,0
83.105,-9.63745,0
83.11,-9.62524,0
83.115,-8.91113,0
83.12,-9.64966,0
83.125,-11.3525,0
83.13,-12.0117,0
83.135,-11.3464,0
83.14,-11.1694,0
83.145,-11.8103,0
83.15,-12.0239,0
83.155,-12.4207,0
83.16,-14.1541,0
83.165,-16.4673,0
83.17,-18.9331,0
83.175,-19.7815,0
83.18,-18.9392,0
83.185,-17.1265,0
83.19,-15.5273,0
83.195,-14.5691,0
83.2,-13.6353,0
83.205,-13.5925,0
83.21,-13.208,0
83.215,-11.7554,0
83.22,-11.1267,0
83.225,-12.1399,0
83.23,-12.8967,0
83.235,-12.9028,0
83.24,-11.6638,0
83.245,-9.74731,0
83.25,-7.88574,0
83.255,-7.71484,0
83.26,-9.57642,0
83.265,-10.2722,0
83.27,-10.1501,0
83.275,-10.498,0
83.28,-9.8938,0
83.285,-10.3821,0
83.29,-12.7136,0
83.295,-14.1663,0
83.3,-14.679,0
83.305,-14.7278,0
83.31,-14.9841,0
83.315,-14.9109,0
83.32,-13.6353,0
83.325,-11.8652,0
83.33,-10.2417,0
83.335,-9.82056,0
83.34,-10.791,0
83.345,-12.4817,0
83.35,-12.8418,0
83.355,-12.8845,0
83.36,-13.2263,0
83.365,-13.7634,0
83.37,-13.5742,0
83.375,-12.3169,0
83.38,-11.145,0
83.385,-11.7371,0
83.39,-13.9648,0
83.395,-16.4429,0
83.4,-17.6575,0
83.405,-15.7288,0
83.41,-11.7126,0
83.415,-9.46045,0
83.42,-8.81348,0
83.425,-8.54492,0
83.43,-10.1196,0
83.435,-11.8347,0
83.44,-11.6821,0
83.445,-11.1938,0
83.45,-12.8113,0
83.455,-15.1184,0
83.46,-15.4907,0
