EEG,sec
-0.0044723295748320315,32.788
-0.004432040835869141,32.792
-0.0046130890524199225,32.796
-0.004759256727671875,32.8
-0.004659867239640625,32.804
-0.004461156327914063,32.808
-0.0044469357434414065,32.812
-0.0046096488864121096,32.816
-0.004763824330787109,32.82
-0.004661958759449219,32.824
-0.004462773342066406,32.828
-0.004454135977835938,32.832
-0.004637494978591797,32.836
-0.004768787679398438,32.84
-0.004640918614689453,32.844
-0.004453594380191406,32.848
-0.004451215531650391,32.852
-0.004626627048837891,32.856
-0.0047582206912441406,32.86
-0.004625889523140625,32.864
-0.00444636448919336,32.868
-0.004455655757222656,32.872
-0.00465707611569336,32.876
-0.004762867054519532,32.88
-0.004625629420142578,32.884
-0.004441704026876953,32.888
-0.004455882314226563,32.892
-0.004653568371523437,32.896
-0.004761718225763672,32.9
-0.0046257281134296875,32.904
-0.004429556001433594,32.908
-0.004467639942085938,32.912
-0.004657092645603516,32.916
-0.0047724048126796875,32.92
-0.0046070376467812505,32.924
-0.004441452675007813,32.928
-0.004474475059935547,32.932
-0.0046672468721777344,32.936
-0.004759046700578125,32.94
-0.004593509860013672,32.944
-0.004416968961023437,32.948
-0.004470927935685547,32.952
-0.004672614231240235,32.956
-0.004752483840072266,32.96
-0.004594424839158204,32.964
-0.00444076862843164,32.968
-0.004496380107935547,32.972
-0.004685021873507813,32.976
-0.004757430658773438,32.98
-0.004590027396882813,32.984
-0.004418834410001953,32.988
-0.004498332582029297,32.992
-0.004684280458419922,32.996
-0.004744872788792969,33.0
-0.00457525889450586,33.004
-0.004417550911095703,33.008
-0.004498623800152344,33.012
-0.004691050428976563,33.016
-0.004757719446027344,33.02
-0.004564661277400391,33.024
-0.0044154170941640624,33.028
-0.00450510984519336,33.032
-0.004707120418691407,33.036
-0.0047402711535097656,33.04
-0.00455950929334375,33.044
-0.004404759191503907,33.048
-0.004508728436996094,33.052
-0.0047018065387500006,33.056
-0.004735044784857422,33.06
-0.004551707661923829,33.064
-0.004410062861794922,33.068
-0.0045233856055664065,33.072
-0.004712740101970704,33.076
-0.004725523556607422,33.08
-0.004545783633828125,33.084
-0.004406098600400391,33.088
-0.00452581939175,33.092
-0.004726466247660157,33.096
-0.004721398371675781,33.1
-0.004536689752373047,33.104
-0.00440547386703125,33.108
-0.004528175390121094,33.112
-0.004725298458125,33.116
-0.0047258517239414065,33.12
-0.0045278165938359375,33.124
-0.004404206898035157,33.128
-0.004551478674050782,33.132
-0.004741529857550782,33.136
-0.004719345745773438,33.14
-0.004522143917609375,33.144
-0.00441673754228125,33.148
-0.004542852977992187,33.152
-0.004749446712167969,33.156
-0.0047098478538671875,33.16
-0.004523587853878907,33.164
-0.0044129643472011724,33.168
-0.00456498555534375,33.172
-0.004760332144179688,33.176
-0.004706886569080079,33.18
-0.004518724657076172,33.184
-0.004414199228724609,33.188
-0.004568043102548828,33.192
-0.004754409574605469,33.196
-0.004696197065121094,33.2
-0.004479167123550782,33.204
-0.004428995929183594,33.208
-0.004574938019779297,33.212
-0.004758654844472656,33.216
-0.004692972274119141,33.22
-0.00448449072696875,33.224
-0.004402583563623047,33.228
-0.004587400599689454,33.232
-0.004764446147113281,33.236
-0.004695236871810547,33.24
-0.00448238802516211,33.244
-0.00442989389224414,33.248
