sec,EEG
64.94,-4.83398
64.945,-7.2876
64.95,-6.98242
64.955,-7.00684
64.96,-7.22656
64.965,-7.36694
64.97,-9.35669
64.975,-10.144
64.98,-8.3374
64.985,-6.52466
64.99,-3.50342
64.995,-1.81885
65,-4.10156
65.005,-8.88672
65.01,-11.8774
65.015,-11.5479
65.02,-9.05151
65.025,-8.34961
65.03,-9.42383
65.035,-9.99146
65.04,-9.8877
65.045,-12.5244
65.05,-10.7117
65.055,-8.23975
65.06,-9.0332
65.065,-8.96606
65.07,-8.77075
65.075,-8.76465
65.08,-8.09326
65.085,-9.11865
65.09,-12.2253
65.095,-14.6423
65.1,-12.6526
65.105,-7.84912
65.11,-3.38135
65.115,-2.4292
65.12,-3.88184
65.125,-6.57959
65.13,-4.25415
65.135,-0.592041
65.14,-0.146484
65.145,-0.604248
65.15,-4.09546
65.155,-8.83789
65.16,-7.75146
65.165,-5.49316
65.17,-5.7251
65.175,-6.5918
65.18,-6.75049
65.185,-6.7627
65.19,-7.82471
65.195,-11.438
65.2,-13.0493
65.205,-10.4187
65.21,-7.72095
65.215,-6.22559
65.22,-6.04858
65.225,-5.5603
65.23,-2.85645
65.235,-1.71509
65.24,-0.787354
65.245,-0.878906
65.25,-1.72729
65.255,-2.83203
65.26,-6.40259
65.265,-5.32227
65.27,0.219727
65.275,5.81055
65.28,9.7168
65.285,8.52661
65.29,4.84619
65.295,2.92969
65.3,3.49121
65.305,3.60107
65.31,2.0874
65.315,0.512695
65.32,0.152588
65.325,-0.0305176
65.33,1.25732
65.335,2.53296
65.34,4.3396
65.345,5.92651
65.35,5.24902
65.355,3.97339
65.36,1.59302
65.365,-0.793457
65.37,-2.17896
65.375,-0.341797
65.38,0.292969
65.385,0.0732422
65.39,-0.769043
65.395,-1.17798
65.4,-1.14136
65.405,-1.28784
65.41,-3.21655
65.415,-4.84619
65.42,-2.20947
65.425,-2.63062
65.43,-5.81665
65.435,-7.82471
65.44,-8.20313
65.445,-5.45654
65.45,-2.91138
65.455,-3.07617
65.46,-6.03027
65.465,-7.21436
65.47,-3.45459
65.475,-1.03149
65.48,-1.75781
65.485,-4.8584
65.49,-6.62231
65.495,-6.46973
65.5,-5.46265
65.505,-3.17993
65.51,-0.933838
65.515,-0.0305176
65.52,-0.994873
65.525,-3.58276
65.53,-6.97632
65.535,-10.5957
65.54,-13.3484
65.545,-14.4653
65.55,-13.9648
65.555,-12.1826
65.56,-10.5835
65.565,-8.30688
65.57,-8.19092
65.575,-9.42993
65.58,-8.00781
65.585,-5.98755
65.59,-5.87769
65.595,-7.14111
65.6,-8.75244
65.605,-8.74023
65.61,-5.84717
65.615,-1.5686
65.62,1.50146
65.625,2.53906
65.63,2.92358
65.635,5.57861
65.64,8.74634
65.645,9.80225
65.65,9.79614
65.655,10.0586
65.66,9.25903
65.665,7.39136
65.67,5.92651
65.675,5.26733
65.68,2.92358
65.685,2.03857
65.69,1.92871
65.695,0.714111
65.7,1.09863
65.705,2.90527
65.71,3.4668
65.715,4.13818
65.72,5.65186
65.725,5.57861
