EEG,State
10.968,0
11.7615,0
14.386,0
15.2527,0
12.4817,0
11.1816,0
11.8225,0
11.3647,0
10.7483,0
12.793,0
13.9404,0
14.9719,0
13.324,0
12.8235,0
13.5742,0
12.7686,0
14.4592,0
14.5874,0
17.5964,0
17.2485,0
14.5813,0
12.9089,0
11.145,0
11.9324,0
15.4541,0
17.6208,0
15.9119,0
18.2068,0
22.3755,0
19.0491,0
12.5977,0
6.34155,0
0.244141,0
-0.71411,0
2.14233,0
3.86963,0
3.85132,0
1.94702,0
0.799561,0
2.29492,0
6.86035,0
7.95288,0
5.40771,0
2.98462,0
3.08228,0
6.75659,0
11.9507,0
13.5254,0
7.49512,0
1.37329,0
1.96533,0
5.16968,0
4.21753,0
3.91235,0
7.32422,0
11.2244,0
7.91016,0
4.97437,0
4.76685,0
0.671387,0
5.45654,0
12.4634,0
7.12891,0
-6.11572,0
-11.2549,0
-7.97729,0
-7.94678,0
-5.59692,0
-0.32959,0
3.59497,0
2.62451,0
-1.64795,0
-3.34473,0
-6.79321,0
-4.61426,0
-1.45874,0
-0.40283,0
-5.9021,0
-13.2263,0
-11.6211,0
-2.23389,0
2.22778,0
8.6731,0
13.324,0
14.8499,0
13.9099,0
15.0574,0
15.4663,0
9.82056,0
9.30786,0
11.2854,0
9.83276,0
6.0791,0
4.02222,0
4.84009,0
5.64575,0
7.51953,0
8.8562,0
9.44214,0
6.35376,0
6.15845,0
8.46558,0
4.47388,0
3.90625,0
7.58667,0
6.84814,0
5.74341,0
10.3882,0
10.6812,0
7.57446,0
9.3689,0
8.66089,0
4.84619,0
3.25928,0
7.83691,0
11.9751,0
8.96606,0
6.45142,0
5.86548,0
5.88379,0
5.92041,0
6.43921,0
5.31616,0
5.19409,0
12.8296,0
11.9568,0
4.11377,0
-1.83105,0
-7.8125,0
-8.88672,0
-5.0293,0
-4.30908,0
-6.53076,0
-5.24292,0
-4.75464,0
-5.00488,0
-8.46558,0
-8.28247,0
-1.7395,0
-4.98657,0
-7.95288,0
-8.66699,0
-10.199,0
-8.34961,0
-7.96509,0
-5.29175,0
-7.95898,0
-13.4277,0
