sec,EEG,alpha,beta,delta,theta 
3.085,34.0088,0.107342,0.38012,37.8875,0.868585
3.09,33.6243,-0.0533413,0.471786,37.3487,0.699567
3.095,32.8796,-0.202285,0.317184,36.8215,0.517822
3.1,31.4331,-0.32738,-0.0124953,36.3093,0.333456
3.105,30.603,-0.419728,-0.357201,35.8152,0.15614
3.11,30.8899,-0.474049,-0.548636,35.3422,-0.00529973
3.115,31.1768,-0.488694,-0.494154,34.8928,-0.143336
3.12,30.9631,-0.465476,-0.222042,34.4693,-0.252013
3.125,30.6763,-0.409231,0.13442,34.0738,-0.327004
3.13,31.3293,-0.326757,0.404512,33.7078,-0.365868
3.135,32.373,-0.225617,0.466322,33.3726,-0.368216
3.14,32.6538,-0.113642,0.307802,33.0693,-0.335559
3.145,32.7209,0.00157871,0.0281946,32.7986,-0.270941
3.15,32.9834,0.113134,-0.222989,32.5607,-0.178936
3.155,33.1665,0.214946,-0.332425,32.3556,-0.0654615
3.16,33.3862,0.301886,-0.283754,32.1831,0.062684
3.165,34.2041,0.369564,-0.153843,32.0426,0.198228
3.17,35.5713,0.414253,-0.0507719,31.9329,0.333672
3.175,36.1633,0.433169,-0.035162,31.8529,0.461531
3.18,36.084,0.42435,-0.0819258,31.801,0.574801
3.185,35.8337,0.386641,-0.108784,31.7752,0.667448
3.19,36.3098,0.320284,-0.0497493,31.7736,0.73454
3.195,37.2925,0.22738,0.0843192,31.7936,0.772287
3.2,37.3047,0.112202,0.20751,31.833,0.778361
3.205,36.8591,-0.0188843,0.224546,31.8888,0.752065
3.21,36.8896,-0.157153,0.10769,31.9582,0.694191
3.215,36.7615,-0.291736,-0.076233,32.0383,0.606833
3.22,35.8887,-0.410983,-0.211474,32.1258,0.493425
3.225,35.2539,-0.503531,-0.220734,32.2177,0.358792
3.23,35.3943,-0.559049,-0.125484,32.3107,0.208718
3.235,35.8337,-0.569616,-0.0286193,32.4015,0.0494363
3.24,35.2112,-0.530923,-0.0284445,32.4868,-0.112562
3.245,34.3872,-0.443256,-0.131634,32.5635,-0.270506
3.25,34.2773,-0.312055,-0.238268,32.6283,-0.417742
3.255,34.2102,-0.147614,-0.216716,32.6782,-0.548293
3.26,33.96,0.0358096,-0.0148829,32.7102,-0.656917
3.265,34.0332,0.221093,0.278397,32.7216,-0.739274
3.27,34.314,0.389922,0.47536,32.7097,-0.792071
3.275,34.2285,0.524921,0.414859,32.672,-0.813378
3.28,32.9468,0.611606,0.085544,32.6063,-0.802646
3.285,31.6406,0.63988,-0.346839,32.5105,-0.76051
3.29,31.2256,0.605516,-0.634186,32.3829,-0.688829
3.295,31.2317,0.511133,-0.603094,32.222,-0.590809
3.3,30.7983,0.365755,-0.268812,32.0265,-0.470692
3.305,30.2429,0.183692,0.172416,31.7954,-0.333415
3.31,29.8584,-0.0168146,0.466159,31.5281,-0.184526
3.315,29.2908,-0.215338,0.457925,31.2242,-0.030046
3.32,28.2654,-0.391657,0.183512,30.8836,0.123888
3.325,27.1606,-0.528151,-0.164849,30.5066,0.271309
3.33,26.5625,-0.611549,-0.369662,30.0936,0.406622
3.335,26.4404,-0.634313,-0.325577,29.6456,0.524678
3.34,25.7141,-0.595477,-0.0949275,29.1636,0.621061
3.345,24.9878,-0.500671,0.146579,28.6491,0.692351
3.35,24.8047,-0.361215,0.233146,28.1037,0.73617
3.355,24.8352,-0.192836,0.115217,27.5295,0.751115
3.36,24.0234,-0.0137231,-0.115562,26.9286,0.736834
3.365,23.0713,0.157577,-0.294085,26.3034,0.694221
3.37,22.6379,0.30419,-0.293931,25.6566,0.625174
3.375,22.467,0.412835,-0.109242,24.991,0.532322
3.38,22.0947,0.47507,0.145918,24.3097,0.419012
3.385,21.6064,0.487421,0.314615,23.6157,0.289386
3.39,21.3989,0.451715,0.294815,22.9125,0.148052
3.395,20.8557,0.374757,0.0984691,22.2034,-0.000158769
3.4,19.4946,0.267125,-0.161498,21.4919,-0.150251
3.405,18.2739,0.141417,-0.343077,20.7815,-0.297165
3.41,18.2922,0.0109724,-0.357997,20.0758,-0.436064
3.415,18.3594,-0.111382,-0.216132,19.3781,-0.56266
3.42,17.7979,-0.214754,-0.00720079,18.6922,-0.673045
3.425,16.9495,-0.291468,0.160524,18.0214,-0.763706
3.43,16.9617,-0.337323,0.220778,17.3691,-0.831819
3.435,16.9922,-0.351371,0.174209,16.7384,-0.875399
3.44,16.4917,-0.335688,0.070305,16.1326,-0.893248
3.445,15.9729,-0.294842,-0.0337963,15.5545,-0.884783
3.45,15.9424,-0.234954,-0.106459,15.0068,-0.849956
3.455,16.0095,-0.162802,-0.145675,14.4921,-0.789421
3.46,15.8203,-0.0851895,-0.161781,14.0127,-0.704579
3.465,15.4907,-0.0085072,-0.158756,13.5706,-0.597284
3.47,15.7166,0.0617553,-0.130009,13.1676,-0.469798
3.475,16.0583,0.121435,-0.0704897,12.8052,-0.324926
3.48,15.686,0.167641,0.0108378,12.4845,-0.16586
3.485,15.271,0.198353,0.0907891,12.2066,0.00410644
3.49,15.5518,0.212574,0.14252,11.9719,0.181433
3.495,16.0339,0.21038,0.148948,11.7807,0.362194
3.5,15.4907,0.192655,0.108384,11.633,0.542394
3.505,14.6301,0.160988,0.03047,11.5283,0.718203
3.51,14.5874,0.117698,-0.0698489,11.4658,0.885823
3.515,14.801,0.0661206,-0.174509,11.4446,1.04132
3.52,14.5203,0.0103535,-0.257515,11.4632,1.18079
3.525,14.1052,-0.0450511,-0.283725,11.52,1.30072
3.53,14.1357,-0.0953104,-0.223179,11.6128,1.39783
3.535,14.3677,-0.135551,-0.0743327,11.7395,1.46899
3.54,13.9404,-0.161513,0.121742,11.8973,1.51137
3.545,13.8489,-0.170332,0.289999,12.0835,1.52275
3.55,14.3738,-0.161081,0.356195,12.295,1.5015
3.555,14.4836,-0.134709,0.287165,12.5283,1.44633
3.56,13.8611,-0.0942839,0.112271,12.78,1.35652
3.565,12.8845,-0.045007,-0.0918421,13.0464,1.23218
3.57,12.793,0.0065251,-0.244481,13.3236,1.07429
3.575,13.0249,0.0532571,-0.301443,13.6074,0.88457
3.58,13.0066,0.0885798,-0.267731,13.894,0.665572
3.585,12.6587,0.107094,-0.179527,14.1789,0.420808
3.59,12.7075,0.105702,-0.0732991,14.4579,0.15457
3.595,12.9395,0.0844818,0.0318946,14.7267,-0.128258
3.6,12.3169,0.0468269,0.128731,14.9811,-0.421964
3.605,11.8774,-0.00108434,0.205129,15.2167,-0.719961
3.61,12.2314,-0.0508694,0.237991,15.4293,-1.01513
3.615,12.8784,-0.0929328,0.204916,15.6147,-1.30017
3.62,12.1704,-0.11817,0.107922,15.7689,-1.56769
3.625,10.9802,-0.119698,-0.0150671,15.8881,-1.81022
3.63,10.675,-0.0939848,-0.105892,15.9684,-2.0204
3.635,11.4136,-0.041642,-0.122841,16.0064,-2.19144
3.64,11.8958,0.0321428,-0.0706952,15.9985,-2.31724
3.645,11.4014,0.117821,-0.000475884,15.9418,-2.39251
3.65,11.2061,0.202639,0.0230045,15.8334,-2.41306
3.655,11.4868,0.272501,-0.03283,15.6705,-2.37617
3.66,11.5662,0.313867,-0.140134,15.4509,-2.2806
3.665,11.6272,0.315763,-0.221606,15.1725,-2.12645
3.67,11.8042,0.271969,-0.196923,14.8336,-1.91542
3.675,12.1338,0.182623,-0.0354134,14.4328,-1.65097
3.68,12.2742,0.0546032,0.216426,13.969,-1.33819
3.685,12.4084,-0.0988009,0.449477,13.4415,-0.983673
3.69,12.793,-0.259282,0.541571,12.8498,-0.595382
3.695,12.7075,-0.405599,0.419479,12.1939,-0.182558
3.7,11.6943,-0.516288,0.103527,11.4741,0.244587
3.705,11.0657,-0.572977,-0.287931,10.6909,0.6753
3.71,11.3281,-0.563131,-0.583249,9.84525,1.09849
3.715,11.4258,-0.482,-0.636865,8.93847,1.5029
